bill_id,model,field,correct,method
bill_05,mistral,vendor,True,fuzzy(0.98)
bill_05,mistral,bill_number,True,both_blank
bill_05,mistral,date,True,both_blank
bill_05,mistral,amount,True,numeric
bill_05,mistral,currency,True,normalized_exact
bill_05,mistral,gst_details,True,both_no_gst
bill_06,mistral,vendor,True,fuzzy(1.00)
bill_06,mistral,bill_number,True,numeric
bill_06,mistral,date,False,exact
bill_06,mistral,amount,True,numeric
bill_06,mistral,currency,True,normalized_exact
bill_06,mistral,gst_details,True,both_no_gst
bill_07,mistral,vendor,True,fuzzy(0.85)
bill_07,mistral,bill_number,True,numeric
bill_07,mistral,date,True,exact
bill_07,mistral,amount,True,numeric
bill_07,mistral,currency,True,normalized_exact
bill_07,mistral,gst_details,True,both_no_gst
bill_08,mistral,vendor,True,fuzzy(0.76)
bill_08,mistral,bill_number,False,numeric
bill_08,mistral,date,True,both_blank
bill_08,mistral,amount,True,numeric
bill_08,mistral,currency,True,normalized_exact
bill_08,mistral,gst_details,True,both_no_gst
bill_09,mistral,vendor,True,fuzzy(1.00)
bill_09,mistral,bill_number,False,numeric
bill_09,mistral,date,False,exact
bill_09,mistral,amount,True,numeric
bill_09,mistral,currency,True,normalized_exact
bill_09,mistral,gst_details,True,both_no_gst
bill_10,mistral,vendor,True,fuzzy(0.92)
bill_10,mistral,bill_number,True,numeric
bill_10,mistral,date,True,exact
bill_10,mistral,amount,True,numeric
bill_10,mistral,currency,True,normalized_exact
bill_10,mistral,gst_details,False,presence_mismatch
bill_11,mistral,vendor,True,fuzzy(1.00)
bill_11,mistral,bill_number,False,numeric
bill_11,mistral,date,False,exact
bill_11,mistral,amount,False,numeric
bill_11,mistral,currency,True,normalized_exact
bill_11,mistral,gst_details,False,presence_mismatch
bill_12,mistral,vendor,True,fuzzy(0.79)
bill_12,mistral,bill_number,False,numeric
bill_12,mistral,date,True,both_blank
bill_12,mistral,amount,False,numeric
bill_12,mistral,currency,True,normalized_exact
bill_12,mistral,gst_details,True,both_no_gst
bill_13,mistral,vendor,True,fuzzy(0.99)
bill_13,mistral,bill_number,True,numeric
bill_13,mistral,date,False,exact
bill_13,mistral,amount,True,numeric
bill_13,mistral,currency,True,normalized_exact
bill_13,mistral,gst_details,True,both_no_gst
